Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
MISC,4527.0,2.49722,0.01555,21.41047615,5341.93399,13.0141359,6.71821,2.57200050354008,0.697999954223631
DSCT,6229.0,-0.51046,0.00317,0.1140697,45.13568,0.22919703,9.23976,1.1820001602172,1.70300006866454
DSCT,5879.0,-0.46747,0.00376,9.59758897,7.7968,0.11429937,8.76479,1.4770002365112005,5.010999679565421
DSCT,7168.0,-0.18036,0.00613,15.46312167,280.58286,0.17099042,8.81989,0.9720001220703,4.290000915527379
EC,5931.0,0.58208,0.01328,0.16626648,2324.50189,0.16617541,9.69372,1.6630001068115003,5.036999702453629
DSCT,6929.0,-0.0088,0.00861,14.64927263,2938.32112,0.15931425,10.1366,0.8119993209839009,1.5490007400512391
MISC,3812.0,37.57285,0.06262,13.916748,2102.63172,0.10409947,8.62821,4.104000568389879,0.2589998245239204
DCEP,7663.0,0.7313,0.01147,3.76129973,2659.03325,7.31811515,9.47794,0.7740001678466015,3.83100032806394
RR,4405.0,0.06846,0.00928,0.5717421,361.19503,0.5724949,8.87796,2.7270002365113,4.217999458312949
DCEP,4627.0,10.30832,0.09529,16.37271647,15804.92442,13.916809,7.22813,2.5340003967285,2.0349998474121502
EC,5589.0,3.95952,0.04826,0.1843286,11209.41362,0.18434393,9.67363,1.8179998397827009,3.57800006866454
DCEP,5743.0,5.05493,0.05361,9.94036,18222.07294,9.36812541,9.814,1.5,4.246999740600611
DCEP,6450.0,0.10987,0.00569,3.19926644,635.70397,3.21454229,7.80108,1.4969997406005984,2.879000663757319
DSCT,5747.0,0.58045,0.00301,0.20052599,5875.04006,0.20055936,9.98663,1.5039997100830398,0.8979997634887695
DCEP,4638.0,0.74294,0.01001,4.63893633,3265.48633,4.62126892,9.5378,2.442999839782699,1.2989997863769407
RR,4570.0,0.06897,0.00241,0.55334012,601.02614,0.55362406,9.59394,2.5209999084473,1.0029993057250994
MISC,3207.0,26.46607,0.02639,13.25387143,3307.46805,0.10409946,8.81358,5.8439993858337,0.2969999313354501
CST,3682.0,2.30495,0.00271,14.64895158,1010.70715,0.10420759,8.61805,4.034998893737802,4.99100017547609
MISC,3722.0,5.18471,0.00476,11.59708625,2654.16617,11.51953623,9.45588,3.93400001525879,0.6989998817443901
CST,3287.0,-0.20252,0.00341,16.37271647,99.86534,13.916809,10.09492,5.3979997634888015,1.102000236511259
DSCT,3970.0,-0.29931,0.00152,13.916504,141.77361,0.13729349,8.80671,3.408999443054199,4.78600025176997
DCEP,6565.0,1.51376,0.01737,3.81282438,4463.93248,7.59513471,9.45815,0.9930000305175,3.60700035095215
DSCT,7181.0,-0.73175,0.00086,12.10157304,60.81601,0.1477036,7.10252,0.7320003509521111,0.9040002822875994
DCEP,4298.0,2.99335,0.03523,3.09255644,19226.86988,3.11472335,10.69913,3.0480003356934,2.6649999618530096
DCEP,3814.0,0.247,0.00511,6.32582227,2493.44267,13.01413546,9.30619,3.723999977111861,0.4790000915527397
MISC,2637.0,27.20874,0.04106,14.64895158,2963.81344,0.10409945,8.585,7.64900016784673,1.8550002574920692
DCEP,4731.0,2.01865,0.00806,4.4180346,8439.44156,8.95036074,10.49989,2.3410005569457795,0.2569999694824201
DSCT,6851.0,-0.40583,0.00686,0.16023609,6.45727,0.15880982,9.38016,0.8489999771118004,5.663999557495089
ED,6366.0,1.49863,0.02521,0.37835312,421.04789,0.75586098,11.60857,1.3529996871947991,4.64099979400636
DSCT,6826.0,1.02947,0.00787,15.46312111,158.34277,0.18200288,9.2589,1.1040000915527006,2.5290002822875888
DSCT,7856.0,-0.59897,0.01192,14.64920842,204.69742,0.14135597,8.94503,0.9879999160766992,5.237000465393091
MISC,5639.0,12.5842,0.01667,25.30329,12843.02617,0.10409947,7.92883,1.5760002136230007,5.18000030517578
RR,4221.0,1.20488,0.02789,0.52615535,1065.66414,0.52604617,8.94781,3.0790004730224005,3.6359996795654
DCEP,6038.18017578125,0.59934,0.00409,5.92204638,2258.88537,5.82971331,9.96546,1.605999946594201,0.26399993896481
DSCT,6955.0,5.44499,0.00342,0.19195178,1053.53284,0.19192628,7.78431,0.8710002899170002,-0.0739998817443803
ED,5093.0,5.96569,0.06569,1.68684897,405.61129,3.37682762,12.92672,1.993999481201099,1.732000350952159
EC,4969.0,0.29981,0.00701,0.34396031,785.85828,0.68845687,10.70525,2.1050004959107014,3.718000411987351
RR,8645.0,4.37702,0.08117,0.46935933,1731.11129,0.46943108,7.31207,1.1040000915528,5.776000022888191
